participant,session,condition,trialType,posture,blockNum,trialNum,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,response,correctResponse,correct,reactionTime,date
1000.0,1.0,1.0,experiment,standing,1,1,buffer,buffer,solid,square,yellow,right,right,yes,0.8505351543426514,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,2,noswitch,incongruant,solid,triangle,blue,left,left,yes,0.5903060436248779,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,3,noswitch,incongruant,solid,triangle,yellow,left,right,no,0.428110122680664,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,4,switch,incongruant,dashed,triangle,yellow,left,left,yes,0.7670788764953613,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,5,noswitch,incongruant,dashed,square,yellow,left,right,no,0.6627371311187744,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,6,noswitch,congruant,dashed,square,blue,right,right,yes,0.4853310585021972,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,7,noswitch,incongruant,dashed,triangle,yellow,left,left,yes,0.624506950378418,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,8,noswitch,congruant,dashed,triangle,blue,left,left,yes,0.3860540390014648,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,9,noswitch,congruant,dashed,triangle,blue,left,left,yes,0.4220139980316162,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,10,switch,incongruant,solid,triangle,yellow,left,right,no,0.9416220188140868,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,11,switch,incongruant,dashed,triangle,yellow,left,left,yes,0.5149447917938232,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,12,noswitch,congruant,dashed,triangle,yellow,left,left,yes,0.4747180938720703,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,13,noswitch,incongruant,dashed,square,blue,right,right,yes,0.7147541046142578,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,14,switch,congruant,solid,square,yellow,right,right,yes,0.8478331565856934,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,15,noswitch,congruant,solid,square,yellow,right,right,yes,0.4303460121154785,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,16,switch,congruant,dashed,square,yellow,right,right,yes,0.4585409164428711,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,17,switch,incongruant,solid,square,blue,left,left,yes,0.679711103439331,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,18,switch,congruant,dashed,triangle,blue,left,left,yes,1.143887996673584,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,19,switch,incongruant,solid,triangle,yellow,left,right,no,0.6207010746002197,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,20,noswitch,incongruant,solid,triangle,blue,left,left,yes,0.4397318363189697,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,21,switch,congruant,dashed,triangle,blue,left,left,yes,0.5758979320526123,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,22,noswitch,incongruant,dashed,square,blue,right,right,yes,0.4816269874572754,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,23,switch,incongruant,solid,square,blue,left,left,yes,1.1881489753723145,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,24,noswitch,incongruant,solid,square,yellow,right,right,yes,0.5167269706726074,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,25,switch,incongruant,dashed,triangle,yellow,left,left,yes,0.5853419303894043,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,26,switch,congruant,solid,square,blue,right,left,no,0.6412999629974365,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,27,noswitch,incongruant,solid,square,yellow,right,right,yes,0.9149019718170166,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,28,noswitch,congruant,solid,square,yellow,right,right,yes,0.7494089603424072,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,29,noswitch,incongruant,solid,square,blue,left,left,yes,1.017948865890503,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,30,switch,incongruant,dashed,square,yellow,right,right,yes,0.5838279724121094,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,31,switch,congruant,solid,triangle,yellow,right,right,yes,0.5990948677062988,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,32,switch,congruant,dashed,square,blue,left,right,no,0.7259101867675781,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,33,switch,incongruant,solid,square,blue,left,left,yes,0.8353638648986816,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,34,switch,incongruant,dashed,square,yellow,right,right,yes,0.7570509910583496,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,35,switch,congruant,solid,square,yellow,right,right,yes,0.6431901454925537,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,36,switch,congruant,dashed,square,blue,left,right,no,0.7696449756622314,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,37,switch,incongruant,solid,triangle,blue,left,left,yes,0.9039349555969238,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,38,noswitch,congruant,solid,triangle,blue,left,left,yes,0.5094611644744873,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,39,noswitch,congruant,solid,triangle,blue,left,left,yes,0.4297709465026855,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,40,noswitch,congruant,solid,square,blue,left,left,yes,0.7351930141448975,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,41,noswitch,congruant,solid,triangle,blue,left,left,yes,0.4823219776153564,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,42,switch,congruant,dashed,triangle,yellow,left,left,yes,0.6830339431762695,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,43,noswitch,congruant,dashed,triangle,blue,left,left,yes,1.1099040508270264,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,44,noswitch,incongruant,dashed,square,yellow,right,right,yes,0.6000430583953857,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,45,noswitch,congruant,dashed,square,yellow,right,right,yes,0.5605199337005615,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,46,switch,congruant,solid,triangle,yellow,right,right,yes,0.9571537971496582,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,47,switch,congruant,dashed,square,blue,left,right,no,0.5686438083648682,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,48,noswitch,incongruant,dashed,triangle,blue,left,left,yes,0.7948517799377441,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,1,49,switch,incongruant,solid,triangle,yellow,right,right,yes,1.2062950134277344,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,1,buffer,buffer,dashed,triangle,blue,left,left,yes,0.6697909832000732,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,2,switch,incongruant,solid,triangle,yellow,right,right,yes,0.8981339931488037,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,3,noswitch,incongruant,solid,square,blue,left,left,yes,0.996246099472046,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,4,noswitch,congruant,solid,square,blue,left,left,yes,0.6354999542236328,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,5,switch,incongruant,dashed,square,yellow,right,right,yes,0.5125319957733154,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,6,switch,incongruant,solid,square,blue,left,left,yes,1.0149390697479248,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,7,switch,incongruant,dashed,square,blue,left,right,no,0.6090497970581055,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,8,noswitch,congruant,dashed,square,blue,left,right,no,0.6502020359039307,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,9,noswitch,incongruant,dashed,triangle,yellow,left,left,yes,0.6484248638153076,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,10,switch,incongruant,solid,square,yellow,right,right,yes,0.618527889251709,2021-11-02 11:01:00
1000.0,1.0,1.0,experiment,standing,2,11,switch,incongruant,dashed,triangle,yellow,left,left,yes,1.017323017120361,2021-11-02 11:01:00
